"candidate","ESN","JJA","LMC","YFC","APB","MS"
1,13,16,15,16,12,16
2,16,15,16,16,14,8
3,24,21,19,22,18,15
4,15,18,14,17,13,14
5,21,17,17,16,20,19
6,20,20.5,20,18,24,20.5
7,14,17,16,23,24,20
8,23,16,16,17,21,17
9,16,18,23,16,15,17
10,22,18,23,24,18,23
11,16,17,14,22,18,15
12,20,18,19,17,10,18
13,20,11,15,17,11,17
14,23,23,24,20,24,24
15,16,16,19,16,16,16
16,13,15,13,17,16,16
17,12,12,13,13,10,5
18,17,17,13,17,16,17
19,15,20,14,17,16,16
20,23,18,21,22,19,19
21,17,16,15,17,13,21
22,16,20,14,19,16,22
23,23,22,22,20,19,21
24,15,15,15,13,15,15
25,20,16,23,22,11,20
26,24,15,15,21,18,14
27,17,20,24,22,18,20
28,16,16,19,16,14,16
